年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分_類別,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標_緯度,GPS座標_經度,事故類別
2018,11,1,0,40,臺中市,沙鹿區,0,1,0,6,3,5,40,3,2,1,4,4,5,7,2,1,1,4,1,1,18,23,2,9,1,1,C03,7,9,1,10,2,14,  ,23,23,1,18,8,C03,24.219148,120.580419,2
2018,11,1,0,51,臺中市,南屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,1,16,8,2,9,1,1,C03,7,5,1,10,2,13,  ,8,8,1,22,8,C03,24.151492,120.642698,2
2018,11,1,3,7,臺中市,太平區,0,2,0,8,3,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,16,6,2,9,3,4,C03,7,5,1,10,2,12,  ,6,6,1,9,8,C03,24.153727,120.718466,2
2018,11,1,4,34,臺中市,太平區,0,0,,6,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,16,,1,5,,C03,24.14124,120.712846,3
2018,11,1,5,14,臺中市,大里區,0,2,0,6,3,5,50,4,1,1,4,4,5,7,4,4,10,5,4,1,16,6,2,7,1,1,C03,7,6,1,10,2,11,  ,6,6,1,21,9,C03,24.092077,120.703571,2
2018,11,1,5,27,臺中市,大里區,0,0,,6,,,80,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,42,,1,10,,B12,24.123664,120.702223,3
2018,11,1,5,37,臺中市,西區,0,0,0,6,,,50,,,,,,,,,,,,,,,6,3,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,6,6,  ,5,  ,B03,24.137978,120.656234,3
2018,11,1,5,42,臺中市,北區,0,1,0,6,3,5,50,14,7,1,4,4,5,7,4,4,5,5,4,2,12,42,2,9,1,1,C03,7,9,1,10,9,14,  ,42,42,1,21,8,C03,24.165926,120.682489,2
2018,11,1,5,45,臺中市,大雅區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,5,,1,  ,,B12,24.207064,120.647032,3
2018,11,1,5,55,臺中市,南區,0,2,0,6,2,5,50,4,1,1,4,4,5,7,1,1,10,5,5,2,16,26,2,9,1,1,C03,7,5,1,10,2,14,  ,26,26,1,21,8,C03,24.1169,120.666703,2
2018,11,1,6,17,臺中市,梧棲區,0,1,0,6,1,5,40,3,1,1,4,4,5,7,4,4,10,5,5,2,16,23,3,10,1,1,C03,7,9,1,10,2,11,  ,23,23,1,8,1,C03,24.24216,120.558127,2
2018,11,1,6,24,臺中市,西屯區,0,0,,6,,,40,,,,,,,,,,,,,,13,,,,,,B03,,,1,,1,,,23,,1,22,,B03,24.196117,120.64783,3
2018,11,1,6,30,臺中市,后里區,0,0,0,6,1,5,50,14,9,1,4,4,5,7,4,4,5,4,5,1,12,19,3,10,1,1,B03,7,1,1,8,2,8,  ,19,19,1,22,8,B03,24.306191,120.721244,3
2018,11,1,6,48,臺中市,大里區,0,0,,6,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,42,,1,21,,B03,24.110136,120.699702,3
2018,11,1,6,50,臺中市,沙鹿區,0,1,0,6,2,5,50,4,1,1,4,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,9,2,11,  ,6,6,1,5,9,C03,24.226452,120.571777,2
2018,11,1,6,54,臺中市,東勢區,0,0,0,6,,,50,,,,,,,,,,,,,,,10,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,10,10,1,9,  ,B03,24.257751,120.829896,3
2018,11,1,6,55,臺中市,大里區,0,1,0,6,1,5,40,4,1,1,4,4,5,7,3,1,10,5,5,2,16,6,3,10,1,1,B12,7,9,1,7,2,5,  ,6,6,1,9,1,B12,24.090027,120.697913,2
2018,11,1,6,57,臺中市,南屯區,0,0,0,6,1,5,40,14,1,1,4,4,5,7,1,1,1,4,5,2,12,16,  ,  ,  ,  ,B03,  ,  ,1,  ,2,6,  ,16,16,1,22,  ,B03,24.23653,120.593735,3
2018,11,1,6,58,臺中市,潭子區,0,1,0,6,1,5,40,4,1,1,4,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,12,  ,6,6,1,22,9,C03,24.205418,120.707814,2
2018,11,1,7,0,臺中市,烏日區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,4,4,1,4,4,1,16,4,3,10,1,1,C03,7,9,6,10,2,11,  ,4,4,1,21,8,C03,24.080934,120.648054,2
2018,11,1,7,4,臺中市,西屯區,0,1,0,6,1,5,50,3,1,1,4,4,5,7,4,4,10,5,5,2,17,42,2,9,1,1,C03,7,9,1,10,2,14,  ,42,42,1,22,8,C03,24.194749,120.633975,2
2018,11,1,7,11,臺中市,北區,0,1,0,6,1,5,50,4,2,1,4,4,5,7,2,1,10,5,5,2,17,6,3,10,1,1,C03,7,5,2,18,2,15,  ,6,6,1,22,8,C03,24.1591,120.6662,2
2018,11,1,7,19,臺中市,梧棲區,0,0,,6,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,25,,1,  ,,B12,24.259189,120.53066,3
2018,11,1,7,23,臺中市,潭子區,0,1,0,6,1,5,50,14,9,1,4,4,5,7,4,4,9,4,5,1,11,26,3,10,1,1,B03,7,5,1,8,2,1,  ,26,26,1,22,8,B03,24.213338,120.699552,2
2018,11,1,7,27,臺中市,北區,0,2,0,7,1,5,50,4,1,1,4,4,5,7,2,1,10,5,5,2,13,16,2,9,1,1,C03,7,9,1,10,2,11,  ,16,16,1,21,1,C03,24.167048,120.675755,2
2018,11,1,7,28,臺中市,西屯區,0,2,0,8,1,5,50,3,2,1,5,4,5,7,4,4,10,5,5,2,11,23,3,10,1,1,B03,7,5,1,8,2,4,  ,23,23,1,22,8,B03,24.166121,120.644911,2
2018,11,1,7,28,臺中市,西屯區,0,1,0,8,1,5,30,4,2,1,5,4,5,7,1,1,9,5,5,2,16,42,2,9,3,4,C03,7,9,3,18,2,12,  ,42,42,1,22,8,C03,24.177893,120.651911,2
2018,11,1,7,28,臺中市,龍井區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,4,4,10,5,5,2,17,42,2,9,1,4,C03,7,9,1,10,2,14,  ,42,42,1,21,1,C03,24.181673,120.586144,2
2018,11,1,7,29,臺中市,西屯區,0,1,0,6,1,5,70,3,1,1,4,4,5,7,4,4,10,5,5,2,16,9,3,10,1,1,C03,7,6,1,10,2,12,  ,9,9,1,22,9,C03,24.177721,120.626512,2
2018,11,1,7,35,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,19,,1,22,,B03,24.184169,120.621066,3
2018,11,1,7,36,臺中市,后里區,0,0,0,6,,,40,,,,,,,,,,,,,,,43,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,44,43,1,20,  ,B03,24.306242,120.720921,3
2018,11,1,7,37,臺中市,龍井區,,,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,16,,1,22,,B03,24.180786,120.583692,3
2018,11,1,7,37,臺中市,清水區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,1,1,1,2,4,2,15,25,3,10,1,1,B03,7,9,1,8,2,1,  ,25,25,1,21,8,B03,24.272278,120.576511,2
2018,11,1,7,38,臺中市,大雅區,0,1,0,7,1,5,50,3,1,1,4,4,5,7,4,4,10,5,5,2,11,6,3,10,1,1,B03,7,5,1,8,2,2,  ,6,6,1,22,9,B03,24.227773,120.643581,2
2018,11,1,7,41,臺中市,北屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,23,23,1,5,  ,B03,24.170998,120.695925,3
2018,11,1,7,41,臺中市,大里區,0,1,0,8,1,5,50,14,9,1,4,4,5,7,4,4,5,2,4,1,17,8,2,9,1,1,C03,7,9,1,10,2,15,  ,44,8,1,22,8,C03,24.11532,120.682843,2
2018,11,1,7,44,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,16,,1,22,,C03,24.176218,120.652458,3
2018,11,1,7,44,臺中市,大雅區,0,3,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,1,17,6,2,9,1,1,C03,7,9,1,10,2,11,  ,6,6,1,22,9,C03,24.211025,120.654249,2
2018,11,1,7,45,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,4,4,5,7,4,4,5,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,8,  ,6,6,1,22,8,B03,24.169828,120.647853,2
2018,11,1,7,46,臺中市,太平區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,42,,1,21,,B03,24.10997,120.732143,3
2018,11,1,7,50,臺中市,沙鹿區,0,1,0,7,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,13,23,2,8,1,1,C03,7,9,1,10,2,15,  ,23,23,1,21,8,C03,24.236101,120.560643,2
2018,11,1,7,50,臺中市,大甲區,0,0,,6,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,17,,1,9,,B03,24.367112,120.621193,3
2018,11,1,7,52,臺中市,霧峰區,0,1,0,7,1,5,50,4,1,1,4,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,C03,7,9,1,10,2,12,  ,6,6,1,20,8,C03,24.070866,120.700614,2
2018,11,1,7,53,臺中市,北屯區,0,1,0,7,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,13,23,2,9,1,1,C03,7,9,1,10,2,14,  ,23,23,1,21,8,C03,24.175503,120.699301,2
