年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分_類別,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
2018,12,1,0,43,臺中市,南區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,23,,1,  ,,C03,24.128378,120.667985,3
2018,12,1,0,53,臺中市,北屯區,0,1,0,8,3,5,50,14,8,1,5,4,5,7,4,4,9,4,4,2,17,23,3,10,1,1,B03,7,8,1,8,7,5,  ,23,23,1,22,5,B03,24.158655,120.725055,2
2018,12,1,0,59,臺中市,南屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,3,4,B03,7,6,1,8,2,2,  ,6,6,1,22,8,B03,24.14038,120.622611,2
2018,12,1,1,30,臺中市,中區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,1,  ,6,6,1,20,9,B03,24.140717,120.679775,2
2018,12,1,1,44,臺中市,北屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,18,23,2,9,4,5,F01,7,9,8,20,2,16,  ,23,23,1,21,8,F01,24.173018,120.687973,2
2018,12,1,1,48,臺中市,太平區,,,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,23,,1,9,,C03,24.157908,120.720317,3
2018,12,1,2,27,臺中市,西屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B01,,,1,,2,,,25,,1,  ,,B01,24.17115,120.644501,3
2018,12,1,3,19,臺中市,中區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,29,23,2,1,1,1,B03,7,9,1,8,1,1,  ,23,23,2,21,8,B03,24.140071,120.682219,2
2018,12,1,3,55,臺中市,龍井區,0,0,,8,,,60,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,43,,2,21,,B12,24.192773,120.579852,3
2018,12,1,4,43,臺中市,西區,0,0,,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.140078,120.663683,3
2018,12,1,5,50,臺中市,龍井區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,23,,1,22,,B12,24.199116,120.547711,3
2018,12,1,6,6,臺中市,北區,0,2,0,8,2,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,26,3,10,1,1,C04,7,5,1,8,11,15,  ,26,26,2,22,8,C04,24.17204,120.671621,2
2018,12,1,6,26,臺中市,大甲區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,25,3,10,1,1,B03,7,9,1,8,2,8,  ,25,25,1,20,8,B03,24.353566,120.629929,2
2018,12,1,6,54,臺中市,南屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,25,,1,22,,B03,24.147405,120.615323,3
2018,12,1,7,18,臺中市,大里區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,4,4,5,2,5,1,16,44,3,10,1,1,C03,7,5,4,8,9,13,  ,44,44,2,22,8,C03,24.084795,120.701068,2
2018,12,1,7,27,臺中市,龍井區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,3,18,2,1,  ,6,6,1,9,1,B03,24.21418,120.536538,2
2018,12,1,7,30,臺中市,沙鹿區,0,0,,8,,,60,,,,,,,,,,,,,,,23,,,,,A12,,,1,,2,,,44,23,1,  ,,A12,24.209462,120.56074,3
2018,12,1,7,50,臺中市,西區,0,2,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,5,4,2,17,43,2,9,1,1,C03,7,9,1,10,2,15,  ,43,43,1,20,8,C03,24.138486,120.676069,2
2018,12,1,7,51,臺中市,神岡區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,17,,1,21,,B03,24.24569,120.694122,3
2018,12,1,8,0,臺中市,烏日區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,26,,1,  ,,B03,24.12254,120.607209,3
2018,12,1,8,2,臺中市,東勢區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,5,5,5,1,17,4,3,10,1,1,B12,7,9,1,8,2,1,  ,4,4,1,9,8,B12,24.281245,120.767075,2
