"年","月","日","時","分","縣市","區","死","受傷","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","受傷程度","主要傷處","保護裝備","行動電話","當事者區分","車輛用途","當事者行動狀態","駕駛資格情形","駕駛執照種類","飲酒情形","車輛撞擊部位最初","車輛撞擊部位其他","肇事因素個別","肇事因素主要","肇事逃逸","職業","旅次目的","車種","GPS座標緯度","GPS座標經度","事故類別"
"2019","3","1","0","40","臺中市","西屯區","0","1","8","3","5","70","4","2","1","5","4","5","7","2","1","1","4","4","2","13","16","2","5","3","4","B03","7","9","1","8","2","3","","44","16","1","22","8","B03","24.18308","120.593036","2"
"2019","3","1","2","0","臺中市","龍井區","0","2","7","3","5","70","4","1","1","5","4","5","7","1","1","10","5","5","2","17","26","3","10","3","4","B03","7","6","1","8","11","15","","26","26","1","21","8","B03","24.186267","120.585896","2"
"2019","3","1","3","10","臺中市","北屯區","0","1","8","3","5","50","4","1","1","5","4","5","7","3","1","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","10","2","11","","6","6","1","22","8","C03","24.172395","120.694326","2"
"2019","3","1","5","20","臺中市","西屯區","0","1","8","3","5","50","4","1","1","5","4","5","7","2","1","10","5","5","2","3","23","3","10","1","1","B03","7","5","1","8","2","8","","23","23","1","22","8","B03","24.17121","120.644309","2"
"2019","3","1","6","13","臺中市","南區","0","0","8","","","50","","","","","","","","","","","","","","","23","3","","","","B03","","","1","8","2","","","23","23","","21","","B03","24.130731","120.684713","3"
"2019","3","1","6","20","臺中市","北屯區","0","1","8","2","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","16","19","3","10","1","1","B03","7","1","1","8","2","8","","19","19","1","21","8","B03","24.177991","120.670042","2"
"2019","3","1","6","43","臺中市","清水區","0","0","","","","40","","","","","","","","","","","","","","","6","","","","","C03","","","1","","2","","","6","6","1","8","","C03","24.318026","120.556458","3"
"2019","3","1","6","52","臺中市","太平區","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","19","","1","4","","C03","24.118171","120.720703","3"
"2019","3","1","7","6","臺中市","東勢區","0","1","8","1","5","50","14","7","1","5","4","5","7","4","4","5","5","4","2","17","43","3","10","1","1","B03","7","9","1","7","2","2","","43","43","1","9","8","B03","24.26113","120.826978","2"
"2019","3","1","7","15","臺中市","烏日區","0","1","8","1","5","50","4","1","1","5","4","5","7","2","1","1","4","5","2","16","23","2","9","1","5","F02","7","9","8","20","2","16","","23","23","1","21","8","F02","24.113985","120.61565","2"
"2019","3","1","7","15","臺中市","潭子區","0","2","8","1","5","50","4","1","1","5","4","5","7","1","1","5","5","4","1","12","8","3","10","1","1","C03","7","9","1","10","2","12","","23","8","1","22","9","C03","24.210266","120.710408","2"
"2019","3","1","7","23","臺中市","中區","0","2","8","1","5","50","3","1","1","5","4","5","7","4","4","10","4","5","2","16","42","2","9","1","1","C03","7","5","1","10","2","14","","42","42","1","21","8","C03","24.143186","120.681797","2"
"2019","3","1","7","28","臺中市","太平區","0","1","8","1","5","50","3","2","1","5","4","5","7","4","4","10","4","4","2","16","26","2","9","4","1","F01","7","5","8","20","2","16","","26","26","1","20","8","F01","24.146785","120.700151","2"
"2019","3","1","7","48","臺中市","太平區","0","1","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","11","17","3","10","1","1","C03","7","4","1","10","2","12","","17","17","1","4","5","C03","24.144511","120.725197","2"
"2019","3","1","7","59","臺中市","北區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.1675","120.6731","3"
"2019","3","1","8","10","臺中市","大雅區","0","2","8","1","5","40","5","8","1","5","4","5","7","1","1","9","5","5","1","17","6","2","9","1","1","C03","7","5","1","10","2","11","","6","6","1","22","9","C03","24.241","120.63044","2"
"2019","3","1","8","12","臺中市","北屯區","0","1","8","1","5","50","14","9","1","5","4","5","7","4","4","5","5","5","2","12","19","3","10","1","1","B03","7","1","1","8","3","8","","19","19","1","5","8","B03","24.180138","120.71314","2"
"2019","3","1","8","15","臺中市","大雅區","0","1","8","1","5","40","4","1","1","5","4","5","7","3","1","10","4","5","1","17","6","2","9","1","1","C03","7","9","2","18","2","12","","6","6","1","22","9","C03","24.22099","120.66282","2"
"2019","3","1","8","25","臺中市","龍井區","0","1","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","10","2","12","","6","6","1","9","1","C03","24.214254","120.541235","2"
"2019","3","1","8","35","臺中市","南區","0","0","8","1","5","50","14","7","1","5","4","5","7","4","4","5","4","5","2","13","23","3","10","1","1","B03","7","9","1","8","2","5","","23","23","1","22","8","B03","24.13291","120.683758","3"
"2019","3","1","8","40","臺中市","和平區","0","0","8","","","50","","","","","","","","","","","","","","","16","","","","","B03","","","1","","2","","","16","16","1","21","","B03","24.22883","121.066282","3"
"2019","3","1","8","48","臺中市","西區","0","1","8","1","5","50","14","8","1","5","4","5","7","4","4","10","5","5","2","16","10","3","10","1","1","B03","7","11","1","8","2","5","","10","10","1","21","8","B03","24.143872","120.665265","2"
"2019","3","1","8","50","臺中市","梧棲區","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","17","","1","","","B12","24.254289","120.530298","4"
"2019","3","1","9","0","臺中市","太平區","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","A12","","","1","","2","","","23","","1","","","A12","24.141944","120.712777","3"
"2019","3","1","9","16","臺中市","東區","0","1","8","1","5","50","3","1","1","5","4","5","7","4","4","10","4","5","2","16","6","3","10","1","1","B03","7","6","1","8","2","5","","6","6","1","22","8","B03","24.143316","120.711119","2"
"2019","3","1","9","20","臺中市","大里區","0","1","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","10","2","12","","6","6","1","22","8","C03","24.102563","120.676266","2"
