"年","月","日","時","分","縣市","區","死","受傷","2-30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","受傷程度","主要傷處","保護裝備","行動電話","當事者區分_類別","車輛用途","當事者行動狀態","駕駛資格情形","駕駛執照種類","飲酒情形","車輛撞擊部位最初","車輛撞擊部位其他","肇事因素個別","肇事因素主要","肇事逃逸","職業","旅次目的","車種","GPS座標_緯度","GPS座標_經度","事故類別"
"2019","7","1","0","25","臺中市","西屯區","0","0","0","8","3","5","40","14","9","1","5","4","5","7","4","4","10","5","5","2","2","17","3","10","1","1","B02","7","9","1","15","2","5","","17","17","1","22","9","B02","24.17598","120.648363","3"
"2019","7","1","1","25","臺中市","大里區","0","2","0","8","3","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","16","23","2","9","1","1","C03","7","9","2","18","2","11","","23","23","1","20","8","C03","24.101673","120.684333","2"
"2019","7","1","4","0","臺中市","石岡區","0","1","0","8","3","5","70","5","2","1","5","4","5","7","3","1","1","3","4","1","23","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","22","9","C03","24.273591","120.78972","2"
"2019","7","1","4","5","臺中市","南屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","11","","","23","","2","22","","B03","24.142646","120.635382","3"
"2019","7","1","6","8","臺中市","大雅區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","1","4","5","1","16","25","2","8","1","1","C03","7","9","1","10","2","11","","25","25","1","22","9","C03","24.232701","120.662015","2"
"2019","7","1","6","12","臺中市","南區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","2","1","5","5","5","2","17","6","3","10","1","1","B01","7","5","1","4","9","15","","6","6","1","10","5","B01","24.130839","120.684787","2"
"2019","7","1","6","30","臺中市","沙鹿區","0","1","0","8","2","5","60","4","1","1","5","4","5","7","1","1","10","5","5","2","16","25","3","10","1","1","B03","7","9","1","8","2","1","","25","25","1","2","9","B03","24.24999","120.597689","2"
"2019","7","1","6","39","臺中市","大雅區","0","2","0","8","1","5","40","14","8","1","5","4","5","7","4","4","1","5","5","1","17","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","21","8","C03","24.20451","120.634801","2"
"2019","7","1","6","45","臺中市","大里區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","A11","","","1","","2","","","17","","1","22","","A11","24.098315","120.702133","3"
"2019","7","1","7","6","臺中市","沙鹿區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","2","1","10","5","5","2","16","25","2","9","1","1","C03","7","9","1","9","2","11","","25","25","1","9","1","C03","24.238308","120.568206","2"
"2019","7","1","7","8","臺中市","太平區","0","2","0","8","1","5","50","8","9","1","5","4","5","7","4","4","5","5","5","2","18","42","2","9","1","1","C03","7","9","4","8","2","12","","42","42","1","19","8","C03","24.115772","120.726617","2"
"2019","7","1","7","10","臺中市","神岡區","0","2","0","8","1","5","50","11","9","1","5","4","5","7","4","4","9","5","5","2","13","16","2","9","1","1","C03","7","9","1","9","2","11","","16","16","1","22","9","C03","24.26464","120.67776","2"
"2019","7","1","7","16","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","","22","","B03","24.15555","120.687766","3"
"2019","7","1","7","20","臺中市","大肚區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","7","","1","21","","B03","24.150137","120.545698","3"
"2019","7","1","7","24","臺中市","南屯區","0","2","0","8","1","5","50","5","1","1","5","4","5","7","1","1","10","5","5","2","16","25","2","9","1","4","C03","7","9","1","10","2","11","","25","25","1","22","8","C03","24.141733","120.613383","2"
"2019","7","1","7","32","臺中市","潭子區","0","1","0","8","1","5","60","3","1","1","5","4","5","7","1","1","1","4","5","1","17","7","3","10","1","1","C03","7","8","4","8","2","13","","7","7","1","22","8","C03","24.191203","120.700101","2"
"2019","7","1","7","44","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","43","","1","22","","B03","24.174191","120.622379","3"
"2019","7","1","7","45","臺中市","后里區","0","0","0","8","1","5","50","14","7","1","5","4","5","7","4","4","1","4","4","1","13","42","3","10","1","1","B03","7","9","1","8","2","1","","42","42","1","21","8","B03","24.309648","120.722478","3"
"2019","7","1","7","52","臺中市","潭子區","0","2","0","8","1","5","50","3","1","1","5","4","5","7","3","1","10","5","5","2","16","6","3","10","1","1","B03","7","5","1","8","2","1","","6","6","1","22","8","B03","24.234061","120.71062","2"
"2019","7","1","7","53","臺中市","南屯區","0","1","0","8","1","5","40","3","1","1","5","1","5","7","4","4","10","5","5","2","17","6","3","10","3","4","B12","7","5","1","8","2","8","","6","6","1","22","8","B12","24.156339","120.6508","2"
"2019","7","1","7","56","臺中市","清水區","0","2","0","8","1","5","40","4","1","1","5","4","5","7","1","1","10","5","5","2","16","26","2","9","1","1","C03","7","5","1","10","2","14","","26","26","1","12","8","C03","24.270997","120.564648","2"
"2019","7","1","8","0","臺中市","龍井區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","18","","1","22","","B03","24.191404","120.545832","4"
"2019","7","1","8","3","臺中市","大雅區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","21","","B12","24.219807","120.66862","3"
"2019","7","1","8","4","臺中市","南屯區","0","1","0","8","1","5","50","3","2","1","5","4","5","7","4","4","10","5","5","2","17","6","3","10","3","4","B12","7","6","1","8","2","6","","6","6","1","22","8","B12","24.136711","120.633854","2"
"2019","7","1","8","4","臺中市","潭子區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","4","4","5","1","17","26","3","10","1","1","B12","7","11","1","8","2","15","","26","26","1","22","8","B12","24.221681","120.722085","2"
"2019","7","1","8","7","臺中市","烏日區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B11","","","1","","2","","","12","","1","5","","B11","24.108875","120.606264","3"
"2019","7","1","8","10","臺中市","后里區","0","0","0","8","1","1","20","3","1","1","5","4","5","7","4","4","5","5","5","2","15","","","","","","B03","","","1","","2","","","6","","1","4","","B03","24.324124","120.722563","3"
"2019","7","1","8","12","臺中市","豐原區","0","1","0","8","1","5","60","3","2","1","5","3","5","7","1","1","1","4","5","1","16","26","3","10","1","1","B03","7","9","1","8","2","7","","44","26","1","22","8","B03","24.266257","120.74669","2"
"2019","7","1","8","14","臺中市","大里區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","9","","","44","","1","","","B03","24.115125","120.674192","3"
"2019","7","1","8","15","臺中市","南屯區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","16","6","3","10","3","4","B12","7","5","1","8","2","1","","6","6","1","21","1","B12","24.138799","120.644272","2"
"2019","7","1","8","20","臺中市","大雅區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.215107","120.66832","3"
"2019","7","1","8","26","臺中市","西屯區","0","2","0","8","1","5","40","14","8","1","5","4","5","7","4","4","1","3","1","1","16","16","2","8","1","1","C03","7","9","1","10","2","11","","16","16","1","4","8","C03","24.158248","120.640573","2"
"2019","7","1","8","27","臺中市","西屯區","0","1","0","8","1","5","40","14","8","1","5","4","5","7","4","4","10","4","5","2","16","9","2","9","1","1","C03","7","6","1","10","2","12","","9","9","1","22","8","C03","24.171883","120.632718","2"
"2019","7","1","8","28","臺中市","南屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","7","","1","22","","B03","24.15384","120.613753","3"
"2019","7","1","8","28","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B01","","","1","","2","","","16","","1","22","","B01","24.168128","120.64797","3"
"2019","7","1","8","30","臺中市","東區","0","2","0","8","1","5","50","14","9","1","5","4","5","7","4","4","9","5","5","2","16","27","2","9","1","1","C03","7","9","1","10","2","11","","16","27","1","22","8","C03","24.141611","120.705369","2"
"2019","7","1","8","33","臺中市","南屯區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","7","","1","21","","B12","24.149079","120.623123","3"
"2019","7","1","8","38","臺中市","龍井區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","4","4","10","1","5","1","17","6","3","10","3","4","B03","7","6","1","8","2","2","","6","6","1","9","9","B03","24.200636","120.534276","2"
"2019","7","1","8","39","臺中市","梧棲區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","A11","","","1","","2","","","12","","1","10","","A11","24.22303","120.522118","3"
"2019","7","1","8","40","臺中市","西區","0","3","0","8","1","5","40","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","10","2","11","","6","6","1","22","9","C03","24.149713","120.66092","2"
"2019","7","1","8","40","臺中市","北區","0","2","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","16","6","2","9","1","1","C03","7","5","1","10","2","13","","6","6","1","22","8","C03","24.149214","120.686065","2"
"2019","7","1","8","46","臺中市","西屯區","0","4","0","8","1","5","80","14","9","1","5","4","5","7","4","4","1","4","5","2","13","23","2","2","1","1","B03","7","9","1","8","2","1","3","23","23","1","22","8","B03","24.16931","120.631766","2"
"2019","7","1","8","48","臺中市","北屯區","0","2","0","8","1","5","50","4","2","1","5","4","5","7","2","1","5","5","5","2","12","42","2","9","1","1","C03","7","15","1","10","2","12","","42","42","1","5","8","C03","24.173581","120.68391","2"
"2019","7","1","8","50","臺中市","東勢區","0","2","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","17","6","2","9","1","1","C03","7","5","1","10","2","11","","6","6","1","21","8","C03","24.261845","120.823573","2"
"2019","7","1","8","52","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","6","","2","","","23","","1","","","B03","24.162516","120.683072","3"
"2019","7","1","8","56","臺中市","大甲區","0","3","0","8","1","5","70","14","8","1","5","4","5","7","4","4","1","4","4","1","13","16","2","8","1","1","C03","7","9","3","18","2","11","","16","16","1","20","8","C03","24.381493","120.651353","2"
"2019","7","1","9","0","臺中市","沙鹿區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","16","10","3","10","1","1","B12","7","11","1","8","2","8","","10","10","1","5","5","B12","24.219021","120.574056","2"
"2019","7","1","9","1","臺中市","北屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","21","","B03","24.182654","120.69099","3"
"2019","7","1","9","6","臺中市","西區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","3","1","10","5","5","2","15","6","2","3","1","1","F02","7","9","8","20","2","16","","6","6","1","20","9","F02","24.138373","120.669238","2"
"2019","7","1","9","6","臺中市","東區","0","1","0","8","1","5","50","14","7","1","5","4","5","7","1","1","9","4","4","2","18","23","2","8","1","1","C03","7","9","1","10","2","12","","23","23","1","18","8","C03","24.15083","120.694508","2"
"2019","7","1","9","8","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","10","","","","","B03","","","1","","2","","","10","10","1","","","B03","24.179625","120.637478","3"
"2019","7","1","9","11","臺中市","北屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","C02","","","3","","2","","","7","","1","","","C02","24.173322","120.678622","3"
"2019","7","1","9","13","臺中市","南屯區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","9","","","18","","1","","","B03","24.144714","120.63412","3"
"2019","7","1","9","20","臺中市","西區","0","2","0","8","1","5","40","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","10","2","11","","6","6","1","21","8","C03","24.152028","120.65941","2"
"2019","7","1","9","25","臺中市","太平區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","4","4","5","5","5","2","15","6","2","9","1","1","C03","7","9","5","18","2","11","","6","6","1","5","5","C03","24.11374","120.718572","2"
"2019","7","1","9","25","臺中市","烏日區","0","2","0","8","1","5","50","3","1","1","5","4","5","7","1","1","10","5","5","2","13","42","2","9","1","1","C03","7","15","1","10","2","13","","42","42","1","21","8","C03","24.078673","120.643245","2"
"2019","7","1","9","27","臺中市","西區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","5","4","5","2","18","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","21","8","C03","24.138761","120.678942","2"
"2019","7","1","9","29","臺中市","龍井區","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","B03","","","5","","2","","","23","","1","22","","B03","24.191938","120.579759","3"
"2019","7","1","9","30","臺中市","太平區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","18","","1","22","","B03","24.129903","120.720022","3"
"2019","7","1","9","30","臺中市","潭子區","0","2","0","8","1","5","50","3","1","1","5","4","5","7","4","4","5","5","5","1","16","8","2","9","1","1","C03","7","5","3","18","2","11","","8","8","1","22","8","C03","24.205347","120.711559","2"
"2019","7","1","9","47","臺中市","太平區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","21","","B03","24.155608","120.717066","3"
"2019","7","1","9","50","臺中市","后里區","0","0","0","8","1","5","50","4","13","1","5","4","5","7","3","1","5","5","4","1","17","23","3","10","1","1","B12","7","1","1","8","2","5","","23","23","2","21","8","B12","24.313676","120.693701","3"
