"年","月","日","時","分","縣市","區","死","受傷","2-30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","受傷程度","主要傷處","保護裝備","行動電話","當事者區分(類別)","車輛用途","當事者行動狀態","駕駛資格情形","駕駛執照種類","飲酒情形","車輛撞擊部位最初","車輛撞擊部位其他","肇事因素個別","肇事因素主要","肇事逃逸","職業","旅次目的","車種","GPS座標(緯度)","GPS座標(經度)","事故類別"
"2019","8","1","0","31","臺中市","西屯區","0","3","0","8","1","5","40","4","2","1","5","4","5","7","3","1","5","4","4","2","16","6","2","9","1","1","B03","7","9","1","8","2","2","","6","6","1","22","8","B03","24.175656","120.617589","2"
"2019","8","1","1","9","臺中市","北區","0","1","0","8","3","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","16","25","2","9","1","1","C03","7","5","1","10","2","14","","25","25","1","22","8","C03","24.155621","120.694432","2"
"2019","8","1","2","30","臺中市","梧棲區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","9","","B03","24.233942","120.534523","3"
"2019","8","1","3","40","臺中市","沙鹿區","0","0","0","8","","","50","","","","","","","","","","","","","","","6","","","","","B03","","","1","","2","","","6","6","","","","B03","24.238234","120.568084","3"
"2019","8","1","5","48","臺中市","西屯區","","","","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","19","","1","22","","B03","24.198173","120.660135","3"
"2019","8","1","6","15","臺中市","龍井區","0","2","0","8","1","5","50","14","9","1","5","4","5","7","4","4","5","5","5","1","20","22","2","9","3","4","C03","7","9","1","10","2","11","","22","22","1","5","9","C03","24.200303","120.535668","2"
"2019","8","1","6","35","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","3","","","","B03","","","1","","2","","","25","","1","22","","B03","24.157698","120.675853","3"
"2019","8","1","6","55","臺中市","潭子區","0","2","0","8","1","5","50","3","1","1","5","4","5","7","3","1","10","4","4","2","16","6","2","9","1","1","C03","7","5","1","10","2","12","","6","6","1","22","8","C03","24.20994","120.70421","2"
"2019","8","1","7","3","臺中市","南區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","17","42","3","10","1","1","A04","7","9","1","2","2","5","","42","42","1","5","8","A04","24.123665","120.679485","2"
"2019","8","1","7","8","臺中市","大里區","0","2","0","8","1","5","40","4","1","1","5","4","5","7","1","1","10","5","5","2","16","42","2","9","1","1","C03","7","5","1","10","2","12","","42","42","1","21","8","C03","24.105115","120.672205","2"
