年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分_類別,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標_緯度,GPS座標_經度,事故類別
2018,9,1,0,0,臺中市,北屯區,,,,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,21,,B03,,,3
2018,9,1,0,1,臺中市,梧棲區,0,0,0,8,,,50,,,,,,,,,,,,,,,,  ,  ,  ,  ,B03,  ,  ,1,  ,8,  ,  ,23,  ,1,2,  ,B03,24.245884,120.54514,3
2018,9,1,0,36,臺中市,西屯區,0,2,0,8,3,5,40,3,2,1,5,4,5,7,4,4,5,4,4,2,17,23,2,9,3,4,C03,7,9,1,10,2,14,  ,23,23,1,22,8,C03,24.199603,120.643321,2
2018,9,1,0,50,臺中市,清水區,0,1,0,8,3,5,40,14,8,1,5,4,5,7,4,4,1,5,5,2,18,23,2,9,1,1,C03,7,9,1,10,2,14,  ,23,23,1,21,1,C03,24.274948,120.533847,2
2018,9,1,1,14,臺中市,潭子區,0,1,0,8,3,5,40,14,9,1,5,4,5,7,4,4,10,5,5,1,18,23,2,9,1,1,C03,7,9,1,10,8,14,  ,23,23,1,22,8,C03,24.193831,120.712119,2
2018,9,1,2,34,臺中市,梧棲區,0,2,0,8,3,5,40,4,1,1,5,4,5,7,2,1,10,5,5,2,15,25,2,9,1,1,C02,7,9,4,10,11,11,  ,25,25,1,2,9,C02,24.221873,120.528357,2
2018,9,1,2,38,臺中市,北屯區,,,,,,,,,,,,,,,,,,,,,,,,,,,B03,,,6,,2,,,9,,1,21,,B03,,,3
2018,9,1,2,50,臺中市,大甲區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,A42,,,1,,2,,,43,,1,10,,A42,24.398634,120.655527,3
2018,9,1,3,8,臺中市,沙鹿區,0,2,0,7,3,5,50,4,1,1,4,4,5,7,3,1,5,5,5,2,15,6,2,1,1,1,B12,7,9,1,8,2,7,  ,6,6,1,21,8,B12,24.238013,120.55985,2
2018,9,1,3,23,臺中市,中區,0,0,,8,3,5,50,4,1,1,5,4,5,7,4,1,10,5,5,2,15,,,,,,B03,,,1,,2,,,25,,1,5,,B03,24.138608,120.679146,3
2018,9,1,5,54,臺中市,西屯區,0,0,,8,,,1,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.165278,120.647785,3
2018,9,1,6,30,臺中市,中區,0,1,0,8,1,5,50,4,9,1,5,4,5,7,4,4,10,4,5,2,16,4,2,9,1,1,C03,7,9,1,10,2,11,  ,4,4,1,19,7,C03,24.139476,120.684492,2
2018,9,1,7,0,臺中市,南屯區,0,0,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,14,12,3,10,1,1,A12,7,2,1,7,2,3,3,12,12,1,11,1,A12,24.137437,120.621761,3
2018,9,1,7,15,臺中市,南屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,16,  ,  ,  ,  ,B03,  ,  ,1,8,2,  ,  ,16,16,1,12,  ,B03,24.140474,120.628396,3
2018,9,1,7,18,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,42,,1,  ,,B03,24.162984,120.719441,3
2018,9,1,7,29,臺中市,大里區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,19,2,9,1,1,C03,7,1,1,10,2,12,  ,19,19,1,20,5,C03,24.092686,120.699422,2
2018,9,1,7,45,臺中市,大雅區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,3,1,5,5,5,1,17,6,2,8,1,1,C03,7,9,1,10,2,14,  ,6,6,1,21,8,C03,24.234591,120.664326,2
2018,9,1,8,0,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,21,2,9,1,1,C03,7,6,1,10,8,12,  ,21,21,1,21,8,C03,24.1736,120.681349,2
2018,9,1,8,26,臺中市,西區,0,0,0,8,,,60,,,,,,,,,,,,,,,,3,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,23,  ,  ,21,  ,B03,24.154894,120.66357,4
2018,9,1,8,33,臺中市,太平區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B12,7,5,1,8,2,4,  ,6,6,1,10,8,B12,24.147777,120.733611,2
2018,9,1,8,40,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,17,6,3,10,1,1,B03,7,6,1,8,2,2,  ,6,6,1,21,8,B03,24.167043,120.64779,2
2018,9,1,8,40,臺中市,后里區,0,0,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,1,17,42,3,10,1,1,A11,7,2,1,2,2,15,  ,42,42,1,21,8,A11,24.316711,120.675475,3
2018,9,1,8,48,臺中市,太平區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,4,2,13,23,2,8,1,1,C03,7,12,1,10,2,11,  ,23,23,1,5,8,C03,24.133915,120.715976,2
2018,9,1,8,50,臺中市,沙鹿區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,1,4,4,2,13,23,3,10,1,1,B03,7,9,1,8,2,1,  ,23,23,1,4,5,B03,24.224685,120.568668,2
2018,9,1,9,8,臺中市,東區,0,0,0,8,,,50,,,,,,,,,,,,,,,,3,  ,  ,  ,B03,  ,  ,1,  ,9,  ,  ,26,  ,1,21,  ,B03,24.135706,120.689913,3
2018,9,1,9,8,臺中市,烏日區,0,1,0,8,1,5,60,4,1,1,5,4,5,7,1,1,10,5,5,2,16,9,3,10,1,1,B12,7,6,1,8,2,2,  ,9,9,1,21,8,B12,24.110105,120.646453,2
2018,9,1,9,8,臺中市,潭子區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,1,  ,6,6,1,22,8,B03,24.203089,120.710137,2
2018,9,1,9,10,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,  ,,B03,24.201081,120.659208,3
2018,9,1,9,29,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,3,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,19,19,1,21,  ,B03,24.122203,120.66999,3
2018,9,1,9,30,臺中市,清水區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,17,,1,21,,B03,24.272133,120.576529,3
2018,9,1,9,38,臺中市,大里區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,2,9,1,1,C03,7,1,1,10,2,12,  ,25,25,1,5,8,C03,24.09539,120.70667,2
2018,9,1,9,41,臺中市,北屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,17,19,3,10,1,1,B03,7,1,1,8,2,4,  ,19,19,1,21,8,B03,24.188628,120.667216,2
2018,9,1,9,46,臺中市,西屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,12,,1,22,,B12,24.1586,120.6228,3
2018,9,1,9,50,臺中市,大里區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,4,1,17,40,3,10,1,1,B03,7,15,1,7,2,4,  ,40,40,1,22,5,B03,24.115125,120.687005,2
2018,9,1,9,53,臺中市,北區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,2,1,10,5,5,2,17,26,3,10,1,1,B03,7,9,1,8,2,2,  ,26,26,1,21,8,B03,24.154783,120.686136,2
2018,9,1,10,15,臺中市,南屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C04,,,1,,2,,,6,,1,5,,C04,24.141427,120.638128,3
2018,9,1,10,18,臺中市,太平區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,  ,,B03,24.1125,120.703611,3
2018,9,1,10,31,臺中市,南屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,2,  ,6,6,1,5,8,B03,24.139298,120.614246,2
2018,9,1,10,35,臺中市,清水區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,14,12,3,10,1,1,B12,7,2,1,8,2,6,  ,12,12,1,21,8,B12,24.266458,120.574631,2
2018,9,1,10,36,臺中市,南區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,13,23,2,8,1,1,C03,7,9,1,9,2,11,  ,23,23,1,9,5,C03,24.126932,120.681199,2
2018,9,1,10,40,臺中市,潭子區,0,2,0,7,1,5,50,11,9,1,5,4,5,7,4,4,5,4,5,2,12,1,2,9,4,5,F03,7,4,8,20,2,16,  ,1,1,1,22,8,F03,24.232616,120.710776,2
2018,9,1,10,47,臺中市,霧峰區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B11,,,1,,2,,,12,,1,11,,B11,24.059356,120.698818,3
2018,9,1,10,53,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,21,,B03,24.200248,120.656291,3
2018,9,1,10,55,臺中市,北屯區,0,2,0,7,1,5,50,3,1,1,5,4,5,7,3,1,4,3,5,2,15,6,3,10,1,1,C03,7,1,1,10,2,11,  ,6,6,1,21,8,C03,24.166233,120.700335,2
2018,9,1,11,3,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,43,4,11,3,4,B03,7,21,1,19,9,15,  ,19,43,2,22,9,B03,24.20672,120.708158,3
2018,9,1,11,5,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,6,,1,20,,B03,24.083804,120.689506,3
2018,9,1,11,6,臺中市,南區,0,2,0,8,1,5,50,4,9,1,5,4,5,7,1,1,9,4,5,2,17,25,2,9,1,1,C03,7,6,1,10,2,11,  ,25,25,1,21,8,C03,24.133581,120.683361,2
2018,9,1,11,6,臺中市,北屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,  ,,B03,24.184202,120.664821,3
2018,9,1,11,7,臺中市,西屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,  ,,B03,24.194129,120.648725,3
2018,9,1,11,15,臺中市,霧峰區,0,1,0,8,1,5,40,14,9,1,5,4,5,7,4,4,10,5,5,2,18,21,2,7,4,5,F03,7,9,8,20,8,16,  ,21,21,1,22,5,F03,24.07097,120.700253,2
2018,9,1,11,16,臺中市,西屯區,0,2,0,8,1,5,50,14,8,1,5,4,5,7,4,4,1,4,4,2,16,7,3,10,1,1,B03,7,8,1,8,2,5,  ,7,7,1,22,9,B03,24.208,120.6514,2
2018,9,1,11,19,臺中市,東區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,7,,2,22,,C03,24.140128,120.692399,3
2018,9,1,11,30,臺中市,大里區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,12,,1,21,,B12,24.096217,120.702979,3
2018,9,1,11,34,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,17,  ,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,17,17,1,22,  ,B03,24.173339,120.653028,3
2018,9,1,11,47,臺中市,北屯區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B01,7,5,1,4,2,8,  ,6,6,1,21,8,B01,24.17778,120.735579,2
2018,9,1,11,50,臺中市,大雅區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,   ,,,7,,11,,,43,,  ,  ,,   ,24.24026,120.63122,3
2018,9,1,11,53,臺中市,南屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,5,,B03,24.134943,120.653993,3
2018,9,1,11,54,臺中市,北屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,42,,1,  ,,C03,24.171571,120.685593,3
2018,9,1,12,10,臺中市,南屯區,0,0,0,8,1,5,50,14,8,1,5,4,5,7,4,4,1,2,4,2,12,7,3,10,1,1,B03,7,7,1,8,2,6,6,7,7,1,3,5,B03,24.151073,120.651554,3
2018,9,1,12,12,臺中市,沙鹿區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,23,,1,  ,,C03,24.228599,120.574914,4
2018,9,1,12,18,臺中市,西屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B01,7,5,1,4,2,2,  ,6,6,1,21,8,B01,24.180015,120.624781,2
2018,9,1,12,25,臺中市,北區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,12,8,3,10,1,1,E01,7,5,1,4,2,8,  ,8,8,1,10,9,E01,24.165195,120.677171,2
2018,9,1,12,30,臺中市,南區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,5,5,2,16,19,3,10,1,1,B03,7,1,1,8,2,8,  ,19,19,1,4,8,B03,24.11684,120.665936,2
2018,9,1,12,30,臺中市,大雅區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,23,,1,22,,C03,24.22446,120.64592,3
2018,9,1,12,33,臺中市,西屯區,0,0,,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,42,,1,  ,,B03,24.186613,120.60439,3
2018,9,1,12,40,臺中市,西屯區,0,1,0,8,1,5,50,4,18,1,5,4,5,7,1,1,10,5,5,2,3,15,3,10,1,4,B12,7,5,1,8,2,5,  ,15,15,1,22,8,B12,24.175946,120.659145,2
2018,9,1,12,41,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,24.169422,120.685349,3
2018,9,1,12,45,臺中市,外埔區,0,0,0,8,1,5,40,3,2,1,5,4,5,7,4,4,10,5,5,2,17,42,3,10,1,1,B12,7,6,1,2,2,2,  ,42,42,1,21,8,B12,24.342858,120.635805,3
2018,9,1,12,47,臺中市,西屯區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,26,2,9,1,1,C03,7,4,1,10,2,12,  ,26,26,1,22,9,C03,24.183333,120.616761,2
2018,9,1,12,50,臺中市,大里區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,1,3,51,2,9,4,5,H01,8,18,8,20,1,16,  ,51,51,1,14,8,H01,24.086446,120.709821,2
2018,9,1,13,1,臺中市,北區,,,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,  ,,B03,24.169373,120.671754,3
2018,9,1,13,3,臺中市,西區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,16,,  ,22,,B03,24.131665,120.667509,3
2018,9,1,13,15,臺中市,中區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,3,  ,  ,  ,B12,  ,  ,1,  ,2,  ,  ,12,12,1,21,  ,B12,24.147217,120.67887,3
2018,9,1,13,18,臺中市,北屯區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,  ,,B03,24.183198,120.696172,3
2018,9,1,13,25,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,,3,  ,  ,  ,B03,  ,  ,1,  ,2,  ,  ,12,  ,  ,21,  ,B03,24.136538,120.66121,3
2018,9,1,13,27,臺中市,新社區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,8,,,23,,1,  ,,B03,24.249733,120.808955,3
2018,9,1,13,33,臺中市,西屯區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,1,4,4,2,16,6,3,10,3,4,B03,7,6,1,8,2,5,  ,6,6,1,21,8,B03,24.186329,120.615217,2
2018,9,1,13,39,臺中市,南區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,10,5,5,2,17,19,3,10,1,1,B03,7,1,1,8,2,8,  ,19,19,1,22,8,B03,24.115374,120.666978,2
2018,9,1,13,40,臺中市,西區,0,0,,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,,,,,,B03,,,1,,2,,,19,,1,5,,B03,24.140175,120.667855,4
2018,9,1,13,42,臺中市,大甲區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,21,,B03,24.345689,120.62274,3
2018,9,1,13,43,臺中市,西區,0,0,,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,44,,1,22,,B03,24.152592,120.657251,3
2018,9,1,13,50,臺中市,南區,0,3,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,8,1,1,C03,7,9,1,10,2,11,  ,6,6,1,4,8,C03,24.131808,120.67849,2
